Reg. #,Brand,Generic,Form,Packing,Size,Manufacturer_ID
66220,OMNIDOL,"Caffeine [65 mg], Chlorpheniramine (Maleate) [2 mg], Paracetamol [500 mg]",Tabs,100s,100,1
38229,OVILOX,Levofloxacin [250 mg],Tabs,10s,10,1
38230,OVILOX,Levofloxacin [500 mg],Tabs,10s,10,1
32614,PANTOLIVE,Pantoprazole [40 mg],Tabs,14s,14,1
66219,PYROTIN,Paroxetine [20 mg],Tabs,1x10s,10,1
72844,REBVEEN,Ribavirin [400 mg],Caps,10s,10,1
72844,REBVEEN,Ribavirin [400 mg],Caps,2x10s,20,1
72844,REBVEEN,Ribavirin [400 mg],Caps,3x10s,30,1
66226,SERPLEX,Iron Protein Succinylate [800 mg/15ml],Syrup,60ml,1,1
31638,SIMOLIVE,Simvastatin [10 mg],Tabs,10s,10,1
31639,SIMOLIVE,Simvastatin [20 mg],Tabs,10s,10,1
66229,SUCLIVE,Sucralfate [1 g/5ml],Susp,60ml,1,1
 ,Trivolive,Ceftriaxone (Na) [1 g],Inj-IM,Vial,1,1
 ,Trivolive,Ceftriaxone (Na) [1 g],Inj-IV,Vial,1,1
31619,ZOLIVE,Albendazole [100 mg/5ml],Susp,10ml,1,1
14402,ABBOCIN,Tobramycin [80 mg],Inj,2mlx1s,1,2
9225,ABBOWAX,Carbamide Peroxide [6.5 %w/v],Ear Drops,15ml,1,2
5408,ABBUTOL,Ethambutol (HCl) [400 mg],Tabs,10x10s,100,2
7863,ABOCAIN,Bupivacaine (HCl) [5 mg/ml],Inj,10mlx5s,5,2
7863,ABOCAIN,Bupivacaine (HCl) [5 mg/ml],Inj,20mlx5s,5,2
18143,ABOCAIN SPINAL INJECTION,Bupivacaine (HCl) [7.5 mg/ml],Inj CS,2mlx5s,5,2
13884,ABOCAL,"Ascorbic Acid [500 mg], Calciferol [400 IU], Calcium Carbonate [670 mg], Pyridoxine [10 mg]",Tabs efr,10s,10,2
12369,ABODINE,Povidone-Iodine [1 %w/v],Mouth Wash,60ml,1,2
247,ABODINE,Povidone-Iodine [7.5 %w/w],Scrub,60ml,1,2
10173,ABODINE,Povidone-Iodine [10 %w/v],Soln,60ml,1,2
67550,ABOMOX,Moxifloxacin [400 mg],Tabs,5s,5,2
9126,ABOZOLE,Metronidazole [500 mg/100ml],Inf,100ml,1,2
10549,ABOZOLE,Metronidazole [400 mg],Tabs,10x10s,100,2
9779,ABRIFAM,Rifampicin [450 mg],Tabs,10x10s,100,2
9780,ABRIFAM,Rifampicin [600 mg],Tabs,10x10s,100,2
21397,ACYCLOVIR,Acyclovir [500 mg/vial],Inj,1sx10ml,10,2
22353,ARINAC,"Ibuprofen [100 mg/5ml], Pseudoephedrine (HCl) [15 mg/5ml]",Syrup,120ml,1,2
22353,ARINAC,"Ibuprofen [100 mg/5ml], Pseudoephedrine (HCl) [15 mg/5ml]",Syrup,90ml,1,2
18387,ARINAC BLISTER,"Ibuprofen [200 mg], Pseudoephedrine (HCl) [30 mg]",Tabs,10x10s,100,2
22352,ARINAC FORTE,"Ibuprofen [400 mg], Pseudoephedrine (HCl) [60 mg]",Tabs,10x10s,100,2
17278,ARTIFEN,Diclofenac (Na) [25 mg/ml],Inj,3mlx5s,5,2
11357,ARTIFEN,Diclofenac (Na) [25 mg],Tabs,10x10s,100,2
9276,ARTIFEN,Diclofenac (Na) [50 mg],Tabs,10x10s,100,2
19338,ARTIFEN TOPICAL,Diclofenac (Na) [1 %w/w],Gel,20g,1,2
18010,ATRELAX,Atracurium (Besylate) [25 mg/2.5ml],Inj,2.5mlx5s,5,2
11031,ATRELAX,Atracurium (Besylate) [50 mg/5ml],Inj,5mlx5s,5,2
11356,BANACID-S,"Magaldrate [540 mg/5ml], Simethicone [20 mg/5ml]",Susp,120ml,1,2
11223,BANACID-S,"Magaldrate [480 mg], Simethicone [20 mg]",Tabs,10x10s,100,2
2622,BECEFOL,"Ascorbic Acid [750 mg], Calcium Pantothenate [20 mg], Cyanocobalamin [4 mcg], Folic Acid [150 mcg], Nicotinamide [100 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [10 mg], Thiamine HCl (Vitamin B1) [15 mg], Tocopherol (Vitamin E) [30 IU]",Tabs,25s,25,2
2622,BECEFOL,"Ascorbic Acid [750 mg], Calcium Pantothenate [20 mg], Cyanocobalamin [4 mcg], Folic Acid [150 mcg], Nicotinamide [100 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [10 mg], Thiamine HCl (Vitamin B1) [15 mg], Tocopherol (Vitamin E) [30 IU]",Tabs,6x10s,60,2
2622,BECEFOL,"Ascorbic Acid [750 mg], Calcium Pantothenate [20 mg], Cyanocobalamin [4 mcg], Folic Acid [150 mcg], Nicotinamide [100 mg], Pyridoxine [5 mg], Riboflavin (Vitamin B2) [10 mg], Thiamine HCl (Vitamin B1) [15 mg], Tocopherol (Vitamin E) [30 IU]",Tabs,20s,20,2
47,BEJECTAL,"Benzyl Alcohol [0.9 mg/ml], Nicotinamide [75 mg/ml], Pyridoxine [5 mg/ml], Riboflavin (Vitamin B2) [2 mg/ml], Sodium Pantothenate [5 mg/ml], Thiamine HCl (Vitamin B1) [10 mg/ml]",Inj,1mlx10s,10,2
47,BEJECTAL,"Benzyl Alcohol [0.9 mg/ml], Nicotinamide [75 mg/ml], Pyridoxine [5 mg/ml], Riboflavin (Vitamin B2) [2 mg/ml], Sodium Pantothenate [5 mg/ml], Thiamine HCl (Vitamin B1) [10 mg/ml]",Inf,10ml,1,2
48,BEJECTAL-T,"Nicotinamide [75 mg/ml], Pyridoxine [5 mg/ml], Riboflavin (Vitamin B2) [2 mg/ml], Sodium Pantothenate [5 mg/ml], Thiamine HCl (Vitamin B1) [100 mg/ml]",Inf,10ml,1,2
48,BEJECTAL-T,"Nicotinamide [75 mg/ml], Pyridoxine [5 mg/ml], Riboflavin (Vitamin B2) [2 mg/ml], Sodium Pantothenate [5 mg/ml], Thiamine HCl (Vitamin B1) [100 mg/ml]",Inj,1mlx10s,10,2
49,BEVIDOX,"Cyanocobalamin [50 mcg], Pyridoxine [100 mg], Thiamine HCl (Vitamin B1) [100 mg]",Tabs,60s,60,2
8345,BEVIDOX,"Cyanocobalamin [1000 mcg/3ml], Pyridoxine [100 mg/3ml], Thiamine HCl (Vitamin B1) [100 mg/3ml]",Inj,3mlx25s,25,2
49,BEVIDOX,"Cyanocobalamin [50 mcg], Pyridoxine [100 mg], Thiamine HCl (Vitamin B1) [100 mg]",Tabs,100s,100,2
49,BEVIDOX,"Cyanocobalamin [50 mcg], Pyridoxine [100 mg], Thiamine HCl (Vitamin B1) [100 mg]",Tabs,30s,30,2
11245,BREMAX,Tulobuterol (HCl) [1 mg/5ml],Syrup,60ml,1,2
11243,BREMAX,Tulobuterol (HCl) [1 mg],Tabs,10x10s,100,2
11244,BREMAX,Tulobuterol (HCl) [2 mg],Tabs,10x10s,100,2
12447,BRUFEN,Ibuprofen [10 %w/w],Cream,30g,1,2
4595,BRUFEN,Ibuprofen [100 mg/5ml],Susp,90ml,1,2
1541,BRUFEN,Ibuprofen [400 mg],Tabs,25x10s,250,2
7850,BRUFEN,Ibuprofen [600 mg],Tabs,3x12s,36,2
72,BRUFEN,Ibuprofen [200 mg],Tabs,50x10s,500,2
70851,BRUFEN,Ibuprofen [200 mg/5ml],Susp,90ml,1,2
4595,BRUFEN,Ibuprofen [100 mg/5ml],Susp,120ml,1,2
1541,BRUFEN,Ibuprofen [400 mg],Tabs,10s,10,2
72,BRUFEN,Ibuprofen [200 mg],Tabs,10s,10,2
44415,BRUFEN PLUS,"Codeine [20 mg], Ibuprofen [200 mg]",Tabs,2x10s,20,2
18388,BRUFEN RETARD,Ibuprofen [800 mg],Tabs SR,2x12s,24,2
73,BURNOL,"Euflavine [0.1 %w/w], Thymol [0.05 %w/w]",Cream,30g,1,2
11355,CALCARD,Diltiazem (HCl) [60 mg],Tabs,10x10s,100,2
14939,CALCIJEX,Calcitriol [1 mcg/ml],Inj,1mlx25s,25,2
42,CECON,Ascorbic Acid [100 mg/ml],Drops,10ml,1,2
6119,CECON,Ascorbic Acid [500 mg],Tabs Chewable,40s,40,2
18389,CEFANOL,Cefaclor (Monohydrate) [250 mg],Caps,12s,12,2
18390,CEFANOL,Cefaclor (Monohydrate) [500 mg],Caps,12s,12,2
18037,CEFANOL,Cefaclor (Monohydrate) [50 mg/ml],Drops,15ml,1,2
18391,CEFANOL,Cefaclor (Monohydrate) [125 mg/5ml],Susp,60ml,1,2
18392,CEFANOL,Cefaclor (Monohydrate) [250 mg/5ml],Susp,60ml,1,2
8749,CITRO SODA,"Citric Acid [0.702 g/4g], Sodium Acid Citrate [0.613 g/4g], Sodium Bicarbonate [1.716 g/4g], Tartaric Acid [0.856 g/4g]",Sachet,4gx100s,100,2
8749,CITRO SODA,Tartaric Acid [0 ],Sachet,4gx20s,20,2
8749,CITRO SODA,"Citric Acid [0.702 g/4g], Sodium Acid Citrate [0.613 g/4g], Sodium Bicarbonate [1.716 g/4g], Tartaric Acid [0.856 g/4g]",Sachet,5gx100s,100,2
8749,CITRO SODA,Tartaric Acid [0 ],Sachet,5gx20s,20,2
7278,COFCOL,"Chlorpheniramine (Maleate) [1 mg/15ml], Dextromethorphan [10 mg/15ml], Paracetamol [325 mg/15ml], Phenylpropanolamine (HCl) [12.5 mg/15ml]",Elixir,120ml,1,2
7278,COFCOL,"Chlorpheniramine (Maleate) [1 mg/15ml], Dextromethorphan [10 mg/15ml], Paracetamol [325 mg/15ml], Phenylpropanolamine (HCl) [12.5 mg/15ml]",Elixir,60ml,1,2
7279,COFCOL,"Chlorpheniramine (Maleate) [1 mg], Dextromethorphan [10 mg], Paracetamol [325 mg], Phenylpropanolamine (HCl) [12.5 mg]",Tabs,25x10s,250,2
6652,COLOFAC,Mebeverine [135 mg],Tabs,30s,30,2
77,CREMAFFIN,"Magnesium Oxides and Hydroxides [3.5 ml/5ml], Paraffin [1.25 ml/5ml]",Emul,120ml,1,2
77,CREMAFFIN,"Magnesium Oxides and Hydroxides [11.25 ml/15ml], Paraffin [3.75 ml/15ml]",Emul,170ml,1,2
10973,DAYALETS,"Ascorbic Acid [500 mg], Calcifediol [400 IU], Calcium Pantothenate [20 mg], Copper [2 mg], Cyanocobalamin [12 mcg], Iodine [150 mcg], Iron Salts [20 mg], Magnesium Oxides and Hydroxides [80 mg], Manganese [1 mg], Nicotinamide [100 mg], Pyridoxine [5 mg], Retinol (Vitamin A) [5000 IU], Riboflavin (Vitamin B2) [10 mg], Thiamine HCl (Vitamin B1) [15 mg], Tocopherol (Vitamin E) [30 IU], Zinc Oxide [1.5 mg]",Tabs,30s,30,2
16870,DAYCOR,"Paracetamol [100 mg/5ml], Pholcodine [1.665 mg/5ml], Pseudoephedrine (HCl) [6.665 mg/5ml]",Syrup,120ml,1,2
389,DIJEX MP CARMINATIVE,"Aluminium Hydroxide and Oxide [215 mg/5ml], Magnesium Oxides and Hydroxides [80 mg/5ml], Simethicone [25 mg/5ml]",Susp,120ml,1,2
389,DIJEX MP CARMINATIVE,"Aluminium Hydroxide and Oxide [215 mg/5ml], Magnesium Oxides and Hydroxides [80 mg/5ml], Simethicone [25 mg/5ml]",Susp,228ml,1,2
389,DIJEX MP MIXED FRUIT,"Aluminium Hydroxide and Oxide [215 mg/5ml], Magnesium Oxides and Hydroxides [80 mg/5ml], Simethicone [25 mg/5ml]",Susp,120ml,1,2
