Reg. #,Brand,Generic,Form,Packing,Size,Manufacturer_ID
55910,ETIDRON,Etidronate (Disodium) [200 mg],Tabs,"10,s",1,29
55640,FALCINIL INJECTION,Artemether [80 mg/ml],Inj,6s,6,29
55540,FALGAN,Paracetamol [1 g/100ml],Inf,1Vialx100ml,100,29
55917,FELIP,Fenofibrate [67 mg],Caps,30s,30,29
55918,FELIP,Fenofibrate [200 mg],Caps,30s,30,29
70611,FLAZOL,Metronidazole [500 mg/100ml],Inf,100ml,1,29
25112,FORTAZIM,Ceftazidime [250 mg],Inj,Vial,1,29
25113,FORTAZIM,Ceftazidime [500 mg],Inj,Vial,1,29
25114,FORTAZIM,Ceftazidime [1 g],Inj,Vial,1,29
48499,GEMIXA,Gemifloxacin [320 mg],Tabs,7s,7,29
15910,GENTIC,"Gentamicin [40 mg/ml], Gentamicin [40 mg/ml]",Inj,1mlx5s,5,29
15911,GENTIC,Gentamicin [5 mg/ml],Inj,2mlx5s,5,29
15909,GENTIC,Gentamicin [20 mg/ml],Inj,2mlx5s,5,29
15910,GENTIC,Gentamicin [40 mg/ml],Inj,2mlx5s,5,29
15911,GENTIC, ,Inj,2mlx5s,5,29
39759,GLAX,Gatifloxacin [4 mg/ml],Inf,Vial,1,29
36235,GLAX,Gatifloxacin [200 mg],Tabs,10s,10,29
35550,GLAX,Gatifloxacin [400 mg],Tabs,5s,5,29
37478,GLAX,Gatifloxacin [2 mg/ml],Inf,Vial,1,29
,herme,"Trastuzumab [0 mg], Trastuzumab [0 mg]",Tabs,16`s,1,29
53441,IDAZOL,Midazolam [5 mg],Inj,5sx5ml,5,29
27734,IVCEF,Cefpirome [500 mg],Inj,Vial,1,29
27735,IVCEF,Cefpirome [1 g],Inj,Vial,1,29
47397,IZILON,Moxifloxacin [400 mg/250ml],Inf,Vial,1,29
47203,IZILON,Moxifloxacin [400 mg],Tabs,5s,5,29
70504,LAMIZID,"Lamivudine [150 mg], Zidovudine [300 mg]",Tabs,60s,60,29
55915,LEZOL,Linezolid [400 mg/200ml],Inf,200ml,1,29
55916,LEZOL,Linezolid [600 mg/300ml],Inf,300ml,1,29
58385,LINTIZ,Tizanidine [2 mg],Tabs,10s,10,29
58386,LINTIZ,Tizanidine [4 mg],Tabs,10s,10,29
33487,LINZIM,Cefixime [100 mg/5ml],Susp,30ml,1,29
33487,LINZIM,Cefixime [100 mg/5ml],Susp,60ml,1,29
37480,LINZIM,Cefixime [400 mg],Caps,1x5s,5,29
 ,LINZIM,Cefixime [200 mg/5ml],Susp,30ml,1,29
50621,LIZOBAL,Mecobalamin [500 mcg],Tabs,2x15s,30,29
70604,LODOX DROPS, ,Drops,5ml,1,29
23018,LOREFECT,Loratadine [10 mg],Tabs,1x10s,10,29
70603,LOTOROS DROPS,Latanoprost [50 mcg],Drops,2.5ml,1,29
24111,MACLACIN,Clarithromycin [125 mg/5ml],Susp,60 ml,1,29
39599,MACLACIN,Clarithromycin [250 mg],Tabs,10s,10,29
39600,MACLACIN,Clarithromycin [500 mg],Tabs,10s,10,29
 ,MACLACIN,Clarithromycin [250 mg/5ml],Susp,60 ml,1,29
17655,MALADRIN,"Pyrimethamine [25 mg], Sulfadoxine [500 mg]",Tabs,1x10s,10,29
42186,MEROFER,Iron Sucrose [20 mg/ml],Inj,5sx5 ml,5,29
70615,MEVIT,Mecobalamin [500 mcg/ml],Inj,10x1ml,10,29
 ,MICAM,Meloxicam [15 mg],Tabs,10s,10,29
 ,MICAM,Meloxicam [7.5 mg],Tabs,10s,10,29
45082,MICTEL,Telmisartan [40 mg],Tabs,14s,14,29
45083,MICTEL,Telmisartan [80 mg],Tabs,14s,14,29
53436,MICTRA,Tramadol (HCl) [50 mg/ml],Inj,5s,5,29
15121,NOROCIN,Norfloxacin [400 mg],Tabs,2x7s,14,29
27181,NUISTA,Simvastatin [10 mg],Tabs,14s,14,29
27182,NUISTA,Simvastatin [20 mg],Tabs,14s,14,29
29003,NUISTA,Simvastatin [40 mg],Tabs,14s,14,29
44124,NUISTA PLUS,"Ezetimibe [10 mg], Simvastatin [20 mg]",Tabs,2x14s,28,29
23903,NULCER,Ranitidine [25 mg/ml],Inj,2mlx5 Amp,5,29
15120,NULCER,Ranitidine [150 mg],Tabs,1x10s,10,29
30800,NUZIB,Celecoxib [200 mg],Caps,1x10s,10,29
30799,NUZIB,Celecoxib [100 mg],Caps,1x10s,10,29
55911,OCTORIN,Desmopressin (Acetate) [0.1 mg],Tabs,"30,s",1,29
55912,OCTORIN,Desmopressin (Acetate) [0.2 mg],Tabs,"30,s",1,29
27168,ODENIL,Frusemide or Furosemide [40 mg],Tabs,10x10s,100,29
30225,OGREL,Clopidogrel [75 mg],Tabs,14s,14,29
44022,OGREL PLUS 162,"Aspirin [150 mg], Clopidogrel [75 mg]",Tabs,2x14s,28,29
44021,OGREL PLUS 81,"Aspirin [75 mg], Clopidogrel [75 mg]",Tabs,2x14s,28,29
44016,OLINC,Lincomycin (HCl) [150 mg/ml],Inj,5s,5,29
25418,OLINC,Lincomycin (HCl) [500 mg],Caps,2x6s,12,29
27158,OLINC,Lincomycin (HCl) [300 mg/ml],Inj,1mlx5s,5,29
25416,OLINC,Lincomycin (HCl) [600 mg/2ml],Inj,5s,5,29
25416,OLINC,Lincomycin (HCl) [600 mg/2ml],Inj,2mlx1s,1,29
27158,OLINC,Lincomycin (HCl) [300 mg/ml],Inj,1mlx1s,1,29
15122,OMEZOL,Omeprazole [20 mg],Caps,2x7s,14,29
29001,OMEZOL,Omeprazole [10 mg],Caps,2x7s,14,29
29002,OMEZOL,Omeprazole [40 mg],Caps,2x7s,14,29
24245,OMEZOL,Omeprazole [40 mg],Inf,Vial,1,29
70605,ONIDIN,Brimonidine (Tartrate) [2 mg],Drops,5ml,1,29
15907,ORTHOFENAC,Diclofenac (Na) [25 mg/ml],Inj,3mlx5s,5,29
26424,ORTHOFENAC,Diclofenac (Na) [0.1 %w/v],Eye Drops,5ml,1,29
15907,ORTHOFENAC,Diclofenac (Na) [25 mg/ml],Inj,3mlx1s,1,29
15913,ORTHOFENAC,Diclofenac (Na) [100 mg],Tabs SR,3x10s,30,29
15914,ORTHOFENAC,Diclofenac (Na) [50 mg],Tabs,2x10s,20,29
34879,ORVA,Atorvastatin [10 mg],Tabs,2x14s,28,29
33961,ORVA,Atorvastatin [20 mg],Tabs,2x14s,28,29
34880,ORVA,Atorvastatin [40 mg],Tabs,10s,10,29
34880,ORVA,Atorvastatin [40 mg],Tabs,2x14s,28,29
24108,OSTEON,Ipriflavone [200 mg],Tabs,10s,10,29
 ,PENRO,Meropenem [1 g],Inj,1s,1,29
15117,PEPTILOC,Famotidine [40 mg],Tabs,10s,10,29
15116,PEPTILOC,Famotidine [20 mg],Tabs,2x10s,20,29
67119,PIORYL G,"Glimepiride [2 mg], Pioglitazone [15 mg]",Tabs,10s,10,29
67120,PIORYL G,"Glimepiride [4 mg], Pioglitazone [30 mg]",Tabs,14s,14,29
50512,PIORYL-M,"Metformin (HCl) [500 mg], Pioglitazone [15 mg]",Tabs,14s,14,29
50512,PIORYL-M,"Metformin (HCl) [850 mg], Pioglitazone [15 mg]",Tabs,14s,14,29
27156,PRELOX,Cefpodoxime [40 mg/5ml],Susp,50ml,1,29
27155,PRELOX,Cefpodoxime [100 mg],Tabs,1x10s,10,29
55851,PROART,"Diclofenac (Na) [50 mg], Misoprostol [200 mcg]",Tabs,20s,20,29
27729,PROTOZOL,Lansoprazole [15 mg],Caps,14s,14,29
27157,PROTOZOL,Lansoprazole [30 mg],Caps,14s,14,29
55018,Q-PRO,Lansoprazole [30 mg],Inj,1s,1,29
30222,QBAL,Mecobalamin [500 mcg],Tabs,2x15s,30,29
30223,QBAL,Mecobalamin [500 mcg/ml],Inj,1x10s,10,29
45132,QFERON,Interferon Alpha 2b [3 MIU],Inj,Vial,1,29
45133,QFERON,Interferon Alpha 2b [5 MIU],Inj,Vial,1,29
70609,QILOX,Ciprofloxacin [200 mg/100ml],Inf,100ml,1,29
70612,QILOX,Ciprofloxacin [400 mg/100ml],Inj,100ml,1,29
48453,QLENA,Levofloxacin [500 mg],Tabs,10s,10,29
48452,QLENA,Levofloxacin [250 mg],Tabs,10s,10,29
 ,QMETEM,"Artemether [40 mg], Lumefantrine [240 mg]",Tabs,8s,8,29
67515,QMETEM,Lumefantrine [480 mg],Tabs,4s,4,29
50506,QMETEM,"Artemether [20 mg], Lumefantrine [120 mg]",Tabs,16s,16,29
67515,QMETEM PLUS,"Artemether [80 mg], Lumefantrine [480 mg]",Tabs,4s,4,29
67122,QMETEM PLUS,"Artemether [15 mg/5ml], Lumefantrine [90 mg/5ml]",Susp,60ml,1,29
67122,QMETEM PLUS,"Artemether [15 mg/5ml], Lumefantrine [90 mg/5ml]",Susp,30ml,1,29
67515,QMETEM PLUS,"Artemether [80 mg], Lumefantrine [480 mg]",Tabs,6s,6,29
55640,QMETEM-P,"Artemether [0 ], Lumefantrine [0 ]",Inj,5s,5,29
27157,QPRO,Lansoprazole [30 mg],Caps,2x7s,14,29
27729,QPRO,Lansoprazole [15 mg],Caps,2x7s,14,29
15133,QPRO,Lansoprazole [30 mg],Inj-IV,Vial,1,29
47212,QUESTA,Escitalopram [10 mg],Tabs,14s,14,29
37632,QUINOFLOX,Ciprofloxacin [100 mg],Tabs,10s,10,29
37633,QUINOFLOX,Ciprofloxacin [750 mg],Tabs,2x5s,10,29
48489,QUINOFLOX,Ciprofloxacin [400 mg/100ml],Inf,Vial,1,29
26422,QUINOFLOX,Ciprofloxacin [0.3 %w/v],Eye Drops,5ml,1,29
23021,QUINOFLOX,Ciprofloxacin [200 mg/100ml],Inf,Vial,1,29
23020,QUINOFLOX,Ciprofloxacin [100 mg/100ml],Inf,Vial,1,29
15919,QUINOFLOX,Ciprofloxacin [500 mg],Tabs,2x5s,10,29
15930,QUINOFLOX,Ciprofloxacin [250 mg],Tabs,1x10s,10,29
24244,QUMIC,Levofloxacin [5 mg/ml],Inf,Vial,1,29
23979,QUMIC,Levofloxacin [250 mg],Tabs,1x10s,10,29
23980,QUMIC,Levofloxacin [500 mg],Tabs,2x5s,10,29
42185,QUMIC,Levofloxacin [0.5 %w/v],Eye Drops,5ml,1,29
33490,QZON,Ceftriaxone (Na) [1 g],Inj,Vial,1,29
33488,QZON,Ceftriaxone (Na) [250 mg],Inj,Vial,1,29
33489,QZON,Ceftriaxone (Na) [500 mg],Inj,Vial,1,29
33488,QZON,Ceftriaxone (Na) [250 mg],Inj-IV,Vial,1,29
33489,QZON,Ceftriaxone (Na) [500 mg],Inj-IV,Vial,1,29
33490,QZON,Ceftriaxone (Na) [1 g],Inj-IV,Vial,1,29
47329,RABOSH,Rabeprazole [10 mg],Tabs,14s,14,29
47330,RABOSH,Rabeprazole [20 mg],Tabs,14s,14,29
70606,RAVAT,Travoprost [40 ug],Drops,2.5ml,1,29
39769,REDRONA,Risedronate (Na) [35 mg],Tabs,4s,4,29
39768,REDRONA,Risedronate (Na) [5 mg],Tabs,14s,14,29
 ,ROUGE,Iron Salts [100 mg],Tabs,10s,10,29
70506,ROVA,Rosuvastatin [5 mg],Tabs,10s,10,29
42362,ROVA,Rosuvastatin [10 mg],Tabs,10s,10,29
42363,ROVA,Rosuvastatin [20 mg],Tabs,10s,10,29
27181,SAISTA,Simvastatin [10 mg],Tabs,1x10s,10,29
27182,SAISTA,Simvastatin [20 mg],Tabs,1x10s,10,29
29003,SAISTA,Simvastatin [40 mg],Tabs,1x10s,10,29
 ,SIBURA,Sibutramine [15 mg],Caps,14s,14,29
 ,SIBURA,Sibutramine [10 mg],Caps,14s,14,29
45386,SOMEZOL,Esomeprazole [40 mg],Inj,Vial,1,29
35691,SOMEZOL,Esomeprazole [20 mg],Caps,2x7s,14,29
35692,SOMEZOL,Esomeprazole [40 mg],Caps,2x7s,14,29
70505,SORIDE,Sodium Chloride [0.9 %w/v],Inj,10mlx100 Ampoules,100,29
15926,SUPRAMOX,Amoxicillin [250 mg],Caps,10x10s,100,29
15921,SUPRAMOX,Amoxicillin [500 mg],Caps,2x10s,20,29
15904,SUPRAMOX,Amoxicillin [250 mg],Inj,Vial,1,29
15905,SUPRAMOX,Amoxicillin [500 mg],Inj,Vial,1,29
18066,SUPRAMOX,Amoxicillin [1 g],Inj,Vial,1,29
16050,SUPRAMOX,Amoxicillin [125 mg/5ml],Susp,60ml,1,29
15927,SUPRAMOX,Amoxicillin [250 mg/5ml],Susp,60ml,1,29
61973,SYMBAL,Duloxetine Hydrochloride [20 mg],Caps,14s,14,29
61973,SYMBAL,Duloxetine Hydrochloride [20 mg],Caps,28s,28,29
61974,SYMBAL,Duloxetine Hydrochloride [30 mg],Caps,10s,10,29
61975,SYMBAL,Duloxetine Hydrochloride [60 mg],Caps,10s,10,29
39593,TANZO,Piperacillin (Na) [2.25 g],Inj,Vial,1,29
39439,TANZO,Piperacillin (Na) [4.5 g],Inj,Vial,1,29
26423,TARIFLOX,Ofloxacin [0.3 %w/v],Eye Drops,5ml,1,29
21506,TARIFLOX,Ofloxacin [200 mg/100ml],Inf,Vial,1,29
15922,TARIFLOX,Ofloxacin [200 mg],Tabs,10s,10,29
30224,TARIFLOX FORTE,Ofloxacin [400 mg],Tabs,2x5s,10,29
34859,TEZOX,Ceftriaxone (Na) [250 mg],Inj,Vial,1,29
34852,TEZOX,Ceftriaxone (Na) [500 mg],Inj,Vial,1,29
34853,TEZOX,Ceftriaxone (Na) [1 g],Inj,Vial,1,29
34856,TROZ,Metronidazole [500 mg/100ml],Inf,Vial,1,29
15119,ULCELOC,Cimetidine (HCl) [400 mg],Tabs,10s,10,29
15118,ULCELOC,Cimetidine (HCl) [200 mg],Tabs,2x10s,20,29
33488,UTAZID,Ceftazidime [250 mg],Inj,Vial,1,29
42215,UTAZID,Ceftazidime [500 mg],Inj,Vial,1,29
42216,UTAZID,Ceftazidime [1 g],Inj,Vial,1,29
27169,VARIBA,Ribavirin [100 mg],Caps,10s,10,29
27170,VARIBA,Ribavirin [200 mg],Caps,10s,10,29
27171,VARIBA,Ribavirin [400 mg],Caps,10s,10,29
24114,VINJEC,Vancomycin (HCl) [500 mg],Inj,Vial,1,29
24115,VINJEC,Vancomycin (HCl) [1 g],Inj,Vial,1,29
70617,ZANIL,Ranitidine [25 mg/ml],Inj,10x2ml,20,29
39760,ZECEF,Cefuroxime [125 mg/5ml],Susp,50ml,1,29
34862,ZECEF,Cefuroxime [125 mg],Tabs,1x14s,14,29
34863,ZECEF,Cefuroxime [250 mg],Tabs,1x14s,14,29
26199,ZECEF,Cefuroxime [250 mg],Inj,Vial,1,29
25111,ZECEF,Cefuroxime [750 mg],Inj,Vial,1,29
26898,ZECEF,Cefuroxime [1.5 g],Inj,Vial,1,29
45388,ZENTRO,Pantoprazole [40 mg],Inj,Vial,1,29
39204,ZENTRO,Pantoprazole [20 mg],Tabs,14s,14,29
35547,ZENTRO,Pantoprazole [40 mg],Tabs,14s,14,29
67514,ZEZOT,Azithromycin [500 mg],Tabs,6s,6,29
55017,ZEZOT,Azithromycin [500 mg],Inj,1s,1,29
27162,ZEZOT,Azithromycin [250 mg],Caps,10s,10,29
27161,ZEZOT,Azithromycin [200 mg/5ml],Susp,15ml,1,29
55850,ZION,Bupropion (HCl) [150 mg],Tabs,10s,10,29
48509,ZOLREST,Linezolid [600 mg],Tabs,2x6s,12,29
55914,ZOLREST,Linezolid [200 mg/100ml],Inf,100ml,1,29
24643,ALBEN,Albendazole [200 mg],Tabs,2s,2,30
 ,ALBEN,Albendazole [0 mg],Susp,10ml,1,30
64193,AMAZE,Bromazepam [3 mg],Tabs,3x10s,30,30
22402,AZIBECT,Azithromycin [250 mg],Caps,4x3s,12,30
22402,AZIBECT,Azithromycin [250 mg],Caps,2x3s,6,30
68319,BRYLAX,Lactulose [3.35 g],Syrup,120ml,1,30
 ,BRYON-E,"Aminophylline [0 ], Ammonium Chloride [0 ]",Syrup,120ml,1,30
17503,CARICARD,Atenolol [50 mg],Tabs,1x10s,10,30
17504,CARICARD,Atenolol [100 mg],Tabs,1x10s,10,30
27521,CEBRIN,"Ferrous Sulphate [200 mg], Folic Acid [0.1 mg]",Caps,3x10s,30,30
37786,CLOXIDIL,Clopidogrel [75 mg],Tabs,10s,10,30
,COBVIT,Mecobalamin [0 ],Tabs,2x10s,20,30
26723,CORLET,Isosorbide 5-Mononitrate [20 mg],Tabs,2x10s,20,30
26722,CORLET,Isosorbide 5-Mononitrate [40 mg],Tabs,2x10s,20,30
68320,CORSAFE,"Amlodipine (Besylate) [10 mg], Atorvastatin [10 mg]",Tabs,10s,10,30
68321,CORSAFE,"Amlodipine (Besylate) [10 mg], Atorvastatin [20 mg]",Tabs,10s,10,30
 ,CORSAFE-AT,"Amlodipine (Besylate) [5 mg], Atorvastatin [10 mg]",Tabs,10s,10,30
 ,CORSAFE-AT,"Amlodipine (Besylate) [5 mg], Atorvastatin [20 mg]",Tabs,2x10s,20,30
 ,CYCLORAM,Piroxicam-beta-cyclodextrin [20 mg],Tabs,2x10s,20,30
 ,DESOLAR,Desloratadine [0 ],Tabs,10s,10,30
19357,DOXYCLATE,Doxycycline [100 mg],Caps,5x10s,50,30
,ENPRESS,Venlafaxine (HCl) [37.5 mg],Tabs,2x10s,20,30
 ,ENPRESS,Venlafaxine (HCl) [75 mg],Caps SR,2x7s,14,30
26147,ENPRIL,Enalapril (Maleate) [5 mg],Tabs,2x10s,20,30
26148,ENPRIL,Enalapril (Maleate) [10 mg],Tabs,2x10s,20,30
26724,EPILEX,Carbamazepine [200 mg],Tabs,5x10s,50,30
,ESOPHAG,Esomeprazole [20 mg],Caps,2x7s,14,30
,ESOPHAG,Esomeprazole [40 mg],Caps,2x7s,14,30
64188,FEPROSIN,Iron Salts [40 mg/5ml],Syrup,60ml,1,30
 ,FERROCEBRIN,Iron Salts [40 mg/15ml],Syrup,120ml,1,30
 ,FERROCEBRIN,Iron Salts [40 mg/15ml],Syrup,60ml,1,30
69716,FERROCEBRINE-F,"Folic Acid [2.5 mg], Iron Salts [400 mg]",Tabs,14s,14,30
 ,FLECTIN,Fluoxetine (HCl) [0 mg],Soln,60ml,1,30
26150,FLECTIN,Fluoxetine (HCl) [20 mg],Caps,1x10s,10,30
17511,FLOVIX,Ofloxacin [200 mg],Tabs,1x10s,10,30
24639,FLUCON,Fluconazole [50 mg],Caps,1x10s,10,30
22401,FLUCON,Fluconazole [150 mg],Caps,1s,1,30
 ,FLUXAQUIN,Moxifloxacin [400 mg],Tabs,5s,5,30
 ,GEMICIN,Gemifloxacin [320 mg],Tabs,5s,5,30
27525,GYNOSAFE,Clotrimazole [500 mg],Vag Tabs,1s,1,30
27524,GYNOSAFE,Clotrimazole [100 mg],Vag Tabs,2x3s,6,30
,ITROFIT,Itraconazole [100 mg],Caps,4s,4,30
,KAFNASE,Cephradine [250 mg],Inj,Vial,1,30
,KAFNASE,Cephradine [500 mg],Inj,Vial,1,30
19352,LAPRANX,Alprazolam [0.25 mg],Tabs,3x10s,30,30
17509,LAPRANX,Alprazolam [0.5 mg],Tabs,3x10s,30,30
17510,LAPRANX,Alprazolam [1 mg],Tabs,3x10s,30,30
,LEGAT,Ceftriaxone (Na) [250 mg],Inj-IM,Vial,1,30
,LEGAT,Ceftriaxone (Na) [500 mg],Inj-IM,Vial,1,30
 ,LEGAT,Ceftriaxone (Na) [1 g],Inj-IM,Vial,1,30
,LEOFLOX,Levofloxacin [250 mg],Tabs,10s,10,30
,LEOFLOX,Levofloxacin [500 mg],Tabs,10s,10,30
29503,LOKESTROL,Simvastatin [10 mg],Tabs,1x10s,10,30
29502,LOKIT,Loperamide (HCl) [2 mg],Caps,1x10s,10,30
29502,LOKIT,Loperamide (HCl) [2 mg],Caps,5x10s,50,30
22404,LORAGIX,Loratadine [10 mg],Tabs,2x10s,20,30
28911,LOSATEN,Losartan (K) [50 mg],Tabs,2x10s,20,30
 ,LOSATEN-H,"Hydrochlorothiazide [12.5 mg], Losartan (K) [50 mg]",Tabs,2x10s,20,30
27526,MAYOFLEX,Naproxen [275 mg],Tabs,2x10s,20,30
27527,MAYOFLEX,Naproxen [550 mg],Tabs,2x10s,20,30
69713,METHRIL,Methylphenidate (HCl) [10 mg],Tabs,3x10s,30,30
,MOWIN,Meloxicam [7.5 mg],Tabs,10s,10,30
,MOWIN,Meloxicam [15 mg],Tabs,10s,10,30
 ,MUCORENT EXPECTORANT,"Guaifenesin [0 ], Terbutaline [0 ]",Syrup,60ml,1,30
28108,MYCOLOCK,Ketoconazole [200 mg],Tabs,1x10s,10,30
26825,NIMEROL,Nimesulide [100 mg],Tabs,1x10s,10,30
26825,NIMEROL,Nimesulide [100 mg],Tabs,5x10s,50,30
24642,NOBETEN,Captopril [12.5 mg],Tabs,2x10s,20,30
26146,NOBETEN,Captopril [25 mg],Tabs,2x10s,20,30
29995,NOBILIUM,Risperidone [1 mg],Tabs,2x10s,20,30
29996,NOBILIUM,Risperidone [2 mg],Tabs,2x10s,20,30
29997,NOBILIUM,Risperidone [3 mg],Tabs,1x10s,10,30
17505,NOCER,Famotidine [20 mg],Tabs,1x10s,10,30
17506,NOCER,Famotidine [40 mg],Tabs,1x10s,10,30
60888,NYLOSIN,Nystatin [100 Units],Oral Soln,30ml,1,30
68322,OLZAR,Olanzapine [5 mg],Tabs,1x10s,10,30
68323,OLZAR,Olanzapine [7.5 mg],Tabs,1x10s,10,30
68324,OLZAR,Olanzapine [10 mg],Tabs,10s,10,30
17512,ORAM,Piroxicam [10 mg],Caps,3x10s,30,30
17513,ORAM,Piroxicam [20 mg],Caps,3x10s,30,30
24640,ORAM,Piroxicam [10 mg],Tabs,3x10s,30,30
24641,ORAM,Piroxicam [20 mg],Tabs,3x10s,30,30
17501,OSTRIN,"Sulphamethoxazole [400 mg], Trimethoprim [80 mg]",Tabs,20 x10s,200,30
17502,OSTRIN FORTE,"Sulphamethoxazole [800 mg], Trimethoprim [160 mg]",Tabs,10x10s,100,30
64185,POLYCEBRIN,Iron Salts [100 mg],Tabs,1x10s,10,30
64186,POLYCEBRIN,Iron Salts [50 mg/5ml],Syrup,60ml,1,30
69715,POLYCEBRIN-F,"Folic Acid [0.35 mg], Iron Salts [100 mg]",Tabs,10s,10,30
64187,REXCEL,Roxithromycin [150 mg],Tabs,1x10s,10,30
 ,RICAS,Cephazolin (Na) [500 mg],Inj,Vial,1,30
 ,RICAS,Cephazolin (Na) [1 g],Inj,Vial,1,30
,RITAGE,Cefotaxime [250 mg],Inj,Vial,1,30
,RITAGE,Cefotaxime [500 mg],Inj,Vial,1,30
 ,SATSIN,Ceftazidime [500 mg],Inj,Vial,1,30
 ,SATSIN,Ceftazidime [250 mg],Inj,Vial,1,30
 ,SESTRIN,Sertraline (HCl) [100 mg],Tabs,2x10s,20,30
 ,SESTRIN,Sertraline (HCl) [50 mg],Tabs,3x10s,30,30
 ,SOPRAL,Bisoprolol (Fumarate) [2.5 mg],Tabs,14s,14,30
 ,SOPRAL,Bisoprolol (Fumarate) [5 mg],Tabs,2x10s,20,30
 ,SOPRAL,Bisoprolol (Fumarate) [10 mg],Tabs,2x10s,20,30
 ,SOPRAL PLUS,"Bisoprolol (Fumarate) [10 mg], Hydrochlorothiazide [0 ]",Tabs,20s,20,30
 ,SOPRAL PLUS,"Bisoprolol (Fumarate) [5 mg], Hydrochlorothiazide [0 ]",Tabs,14s,14,30
 ,STEADY,Glimepiride [1 mg],Tabs,2x10s,20,30
 ,STEADY,Glimepiride [2 mg],Tabs,2x10s,20,30
 ,STEADY,Glimepiride [3 mg],Tabs,2x10s,20,30
 ,STEADY,Glimepiride [4 mg],Tabs,2x10s,20,30
29995,SYCOCAR,Risperidone [1 mg],Tabs,20s,20,30
29996,SYCOCAR,Risperidone [2 mg],Tabs,20s,20,30
29997,SYCOCAR,Risperidone [3 mg],Tabs,10s,10,30
70334,SYRALIN,Sertraline (HCl) [50 mg],Tabs,0,1,30
70335,SYRALIN,Sertraline (HCl) [100 mg],Tabs,0,1,30
 ,TACAR,Carvedilol [25 mg],Tabs,10s,10,30
 ,TACAR,Carvedilol [12.5 mg],Tabs,10s,10,30
 ,TACAR,Carvedilol [6.25 mg],Tabs,10s,10,30
 ,TAGOZER,Pioglitazone [15 mg],Tabs,10s,10,30
 ,TAGOZER,Pioglitazone [30 mg],Tabs,10s,10,30
 ,TAGOZER,Pioglitazone [45 mg],Tabs,10s,10,30
64191,TAGOZER-G,"Glimepiride [2 mg], Pioglitazone [30 mg]",Tabs,1x14s,14,30
64190,TAGOZER-G,"Glimepiride [4 mg], Pioglitazone [30 mg]",Tabs,1x14s,14,30
64192,TAGOZER-G,"Glimepiride [2 mg], Pioglitazone [15 mg]",Tabs,1x10s,10,30
64192,TAZOGER-G,Pioglitazone [15 mg],Tabs,1x10s,10,30
64189,TERBIZOR,Terbinafine (HCl) [125 mg],Tabs,1x10s,10,30
27523,TERBULIN,Terbutaline [2.5 mg],Tabs,10x10s,100,30
56467,THYRAZOL,Carbimazole [5 mg],Tabs,10x10s,100,30
17507,TYLADOL,Paracetamol [500 mg],Tabs,20x10s,200,30
17508,TYLADOL EXTRA,"Caffeine [65 mg], Paracetamol [500 mg]",Tabs,10x10s,100,30
,TYLADOL PLUS,Paracetamol [0 ],Susp,60ml,1,30
21883,TYLADOL-CF,"Chlorpheniramine (Maleate) [4 mg], Paracetamol [500 mg], Pseudoephedrine (HCl) [60 mg]",Tabs,10x10s,100,30
73236,VOLPAR,Sodium Valproate [250 mg],Tabs,0,1,30
73237,VOLPAR,Sodium Valproate [500 mg],Tabs,0,1,30
 ,XCID,Meloxicam [7.5 mg],Tabs,10s,10,30
 ,XCID,Meloxicam [15 mg],Tabs,10s,10,30
37785,ZECLORIN,Clarithromycin [500 mg],Tabs,1x10s,10,30
29994,ZECLORIN,Clarithromycin [250 mg],Tabs,1x10s,10,30
24638,ZEPEP,Omeprazole [20 mg],Caps,2x7s,14,30
28109,ZOLOXIN,Ciprofloxacin [250 mg],Tabs,1x10s,10,30
28110,ZOLOXIN,Ciprofloxacin [500 mg],Tabs,1x10s,10,30
26057,AFRACIN,"Isoniazid [150 mg], Rifampicin [300 mg]",Tabs,100s,100,31
26058,AFRACIN,"Isoniazid [300 mg], Rifampicin [450 mg]",Tabs,30s,30,31
24817,AFRAZID,"Ethambutol (HCl) [300 mg], Isoniazid [75 mg], Rifampicin [150 mg]",Tabs,10x10s,100,31
26056,AFRAZID,"Ethambutol (HCl) [225 mg/5ml], Isoniazid [60 mg/5ml], Pyrazinamide [300 mg/5ml], Rifampicin [120 mg/5ml]",Syrup,60ml,1,31
26057,AFRAZID INH,"Ethambutol (HCl) [300 mg], Isoniazid [75 mg], Rifampicin [150 mg]",Tabs,100s,100,31
26057,AFRAZID INH,"Ethambutol (HCl) [300 mg], Isoniazid [75 mg], Rifampicin [150 mg]",Tabs,30s,30,31
24818,AFRAZID-P,"Ethambutol (HCl) [225 mg], Isoniazid [60 mg], Pyrazinamide [300 mg], Rifampicin [120 mg]",Tabs,10x10s,100,31
69475,AKSILEZ-V,"Aliskiren [150 mg], Valsartan [160 mg]",Tabs,7s,7,31
69475,AKSILEZ-V,"Aliskiren [150 mg], Valsartan [160 mg]",Tabs,14s,14,31
69476,AKSILEZ-V PLUS,"Aliskiren [300 mg], Valsartan [320 mg]",Tabs,14s,14,31
69476,AKSILEZ-V PLUS,"Aliskiren [300 mg], Valsartan [320 mg]",Tabs,7s,7,31
31682,ALRIN,Fexofenadine [60 mg],Tabs,10s,10,31
31683,ALRIN,Fexofenadine [120 mg],Tabs,10s,10,31
31684,ALRIN,Fexofenadine [180 mg],Tabs,10s,10,31
8937,AMOCILLIN,Amoxicillin [250 mg],Caps,10x10s,100,31
